cve_id,degree_cent,betweenness,closeness,eigenvector,pagerank,cvss_score,severity
CVE-2021-4019,0.29411764705882354,0.00032503352688304047,0.5743018941612966,0.043626267357415406,0.0006240794965690102,7.8,HIGH
CVE-2021-21900,0.29411764705882354,0.00032503352688304047,0.5743018941612966,0.0436262673574154,0.0006240794965690102,8.8,HIGH
CVE-2021-4011,0.29411764705882354,0.00032503352688304047,0.5743018941612966,0.04362626735741542,0.0006240794965690102,7.8,HIGH
CVE-2021-4008,0.29411764705882354,0.00032503352688304047,0.5743018941612966,0.04362626735741542,0.0006240794965690102,7.8,HIGH
CVE-2021-4009,0.29411764705882354,0.00032503352688304047,0.5743018941612966,0.04362626735741542,0.0006240794965690102,7.8,HIGH
CVE-2021-21899,0.29411764705882354,0.00032503352688304047,0.5743018941612966,0.04362626735741543,0.0006240794965690102,8.8,HIGH
CVE-2021-4173,0.2648758925535532,0.003714027278232239,0.5524042073628851,0.03195660347678386,0.0006236061369557385,7.8,HIGH
CVE-2021-4187,0.2648758925535532,0.003714027278232239,0.5524042073628851,0.03195660347678386,0.0006236061369557384,7.8,HIGH
CVE-2021-26690,0.2896973818429106,0.0004134017218026085,0.5726246105919003,0.04314829520006832,0.0006220849238138143,7.5,HIGH
CVE-2021-32606,0.277796667800068,0.0032311155989942337,0.5549056603773584,0.03452578082781141,0.0006210779702620462,7.8,HIGH
CVE-2021-37974,0.29513770826249575,0.00031873770574244623,0.5720676911106789,0.044025577242398646,0.0006203507421259292,8.8,HIGH
CVE-2021-37975,0.29513770826249575,0.00031873770574244623,0.5720676911106789,0.04402557724239867,0.0006203507421259292,8.8,HIGH
CVE-2021-37972,0.29513770826249575,0.00031873770574244623,0.5720676911106789,0.04402557724239866,0.0006203507421259292,8.8,HIGH
CVE-2021-37576,0.2767766065963958,0.0032208805511884622,0.5545917405242315,0.03437317297931091,0.0006192183935006532,7.8,HIGH
CVE-2021-3472,0.28867732063923834,0.00038446493291784004,0.570957095709571,0.04349801737937762,0.000614456660316577,7.8,HIGH
CVE-2021-40153,0.28867732063923834,0.00038446493291784004,0.570957095709571,0.04349801737937765,0.000614456660316577,8.1,HIGH
CVE-2021-44026,0.2907174430465828,0.0002821426380809121,0.5714008160093258,0.043874443889637314,0.000612658069693406,9.8,CRITICAL
CVE-2021-32761,0.2907174430465828,0.0002821426380809121,0.5714008160093258,0.04387444388963734,0.000612658069693406,7.5,HIGH
CVE-2021-3748,0.27609656579394765,0.000975220738453546,0.566121270452358,0.04169685309562417,0.0006119895230828821,7.5,HIGH
CVE-2021-31618,0.2859571574294458,0.00037490638474307,0.5697404106935297,0.04335837152237017,0.0006100092531570016,7.5,HIGH
CVE-2021-4069,0.28765725943556614,0.0002941662002270079,0.5719564371839752,0.04311809226238272,0.0006097901395414477,7.8,HIGH
